id,author,work,holdout,scholarly_date_ce,scholarly_sigma,map_date_ce,ci68_lo,ci68_hi,ci95_lo,ci95_hi
josephus_antiquities,Josephus,Jewish Antiquities (selected books),False,93,5,95,90,100,85,100
vita_aesopi,Anonymous,Vita Aesopi (Life of Aesop),False,50,75,70,0,145,-70,215
john_gospel,John (anonymous),Gospel of John,False,100,20,100,80,120,60,135
chariton_callirhoe,Chariton of Aphrodisias,Callirhoe (Chaereas and Callirhoe),False,100,40,100,60,140,20,175
ignatius_letters,Ignatius of Antioch,Seven Genuine Letters,False,108,5,110,105,115,100,115
testament_abraham,Anonymous (Jewish pseudepigraphon),Testament of Abraham (Recension A),False,100,50,105,55,150,5,200
plutarch_lives,Plutarch,Parallel Lives (selected),False,100,15,100,85,115,70,130
plutarch_moralia,Plutarch,Moralia (selected),False,100,15,100,85,115,70,130
dio_chrysostom_orations,Dio Chrysostom,Orations (selected),False,100,15,100,85,115,70,130
epictetus_discourses,Arrian / Epictetus,Discourses of Epictetus,False,108,10,110,100,115,90,125
achilles_tatius,Achilles Tatius,Leucippe and Clitophon,False,150,30,150,120,180,90,205
arrian_anabasis,Arrian,Anabasis of Alexander,False,145,10,145,135,155,125,165
appian_roman_history,Appian,Roman History (selected books),False,155,15,155,140,170,125,185
pausanias_description,Pausanias,Description of Greece,False,160,15,160,145,175,130,190
lucian_true_history,Lucian,True History and selected dialogues,False,165,15,165,150,180,135,195
aelius_aristides_sacred,Aelius Aristides,Sacred Tales,False,170,15,170,155,185,140,200
maximus_tyrius_orations,Maximus of Tyre,Orations (Dialexeis),False,180,15,180,165,195,150,210
galen_natural_faculties,Galen,On the Natural Faculties,False,180,15,180,165,195,150,210
clement_stromateis,Clement of Alexandria,Stromateis,False,200,15,200,185,215,170,230
philostratus_lives_sophists,Philostratus,Lives of the Sophists,False,220,15,220,205,235,190,250
aelian_various_history,Aelian,Varia Historia,False,220,15,220,205,235,190,250
cassius_dio_roman,Cassius Dio,Roman History (epitome books),False,220,15,220,205,235,190,250
plotinus_enneads,Plotinus,Enneads (selected),False,265,10,265,255,275,245,285
porphyry_life_plotinus,Porphyry,Life of Plotinus,False,290,15,290,275,305,260,320
iamblichus_pythagorean,Iamblichus,On the Pythagorean Life,False,305,15,305,290,320,275,335
eusebius_church_history,Eusebius of Caesarea,Ecclesiastical History,False,315,15,315,300,330,285,345
libanius_orations,Libanius,Orations (selected),False,360,15,360,345,375,330,390
polybius_histories,Polybius,Histories,True,-160,25,-160,-185,-135,-205,-110
mark_gospel,Mark (anonymous),Gospel of Mark,True,70,15,70,55,85,40,100
matthew_gospel,Matthew (anonymous),Gospel of Matthew,True,85,15,85,70,100,55,115
luke_gospel,Luke (anonymous),Gospel of Luke,True,120,30,120,90,150,60,180
diogenes_laertius_lives,Diogenes Laërtius,Lives of the Eminent Philosophers,True,230,30,230,200,260,175,290
